zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
21402681,14502 Graystone Ave,Norwalk,CA,90650,33.899815,-118.0937,675000,2,3,832,SINGLE_FAMILY,FOR_SALE,-1,699800,2771,FALSE,FALSE,USD,USA,374678,7329,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/2e43998995f6a00c672b069c77eb0d78-p_e.jpg,https://www.zillow.com/homedetails/14502-Graystone-Ave-Norwalk-CA-90650/21402681_zpid/,252.54420786719595
21438254,9345 Firebird Ave,Whittier,CA,90605,33.951202,-118.038216,699900,2,4,1416,SINGLE_FAMILY,FOR_SALE,-1,714300,3599,FALSE,FALSE,USD,USA,326239,6231,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ccb0de1d0b407f1f3df8d0251317ef1e-p_e.jpg,https://www.zillow.com/homedetails/9345-Firebird-Ave-Whittier-CA-90605/21438254_zpid/,198.47179772158933
21377623,12316 Newgate Ave,Whittier,CA,90605,33.919643,-118.04012,725000,2,3,1189,SINGLE_FAMILY,FOR_SALE,-1,721500,3497,FALSE,FALSE,USD,USA,64262,6057,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/48e84309b0c16dcb42c45f15097a6396-p_e.jpg,https://www.zillow.com/homedetails/12316-Newgate-Ave-Whittier-CA-90605/21377623_zpid/,206.31970260223048
21284734,19922 Enslow Dr,Carson,CA,90746,33.85039,-118.256,789900,2,3,1360,SINGLE_FAMILY,FOR_SALE,-1,,3288,FALSE,FALSE,USD,USA,703800,5070.384,sqft,,,,,,TRUE,Sun. 1am-4pm,"[{'open_house_start': 1704618000000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/ca89f4bc9f1b20b391064155b092a5d0-p_e.jpg,https://www.zillow.com/homedetails/19922-Enslow-Dr-Carson-CA-90746/21284734_zpid/,
21174714,6121 Droxford St,Lakewood,CA,90713,33.860863,-118.112656,750000,2,4,1739,SINGLE_FAMILY,FOR_SALE,-1,773900,4200,FALSE,FALSE,USD,USA,468559,6216,sqft,,,,,,TRUE,Sat. 11am-2pm,"[{'open_house_start': 1704567600000, 'open_house_end': 1704578400000}, {'open_house_start': 1704654000000, 'open_house_end': 1704664800000}]",https://photos.zillowstatic.com/fp/1eefead737ae1c7ce54176c51952c944-p_e.jpg,https://www.zillow.com/homedetails/6121-Droxford-St-Lakewood-CA-90713/21174714_zpid/,184.26190476190476
20986560,734 W 139th St,Compton,CA,90222,33.905666,-118.23778,575000,2,4,1289,MULTI_FAMILY,FOR_SALE,-1,592700,3599,FALSE,FALSE,USD,USA,663690,4588,sqft,,,1.70289E+12,"$24,000 (Dec 18)",-24000,,,,https://photos.zillowstatic.com/fp/7b18d50182c20c06d2f8246cc0b79a94-p_e.jpg,https://www.zillow.com/homedetails/734-W-139th-St-Compton-CA-90222/20986560_zpid/,164.6846346
21378499,14331 Leffingwell Rd,Whittier,CA,90604,33.923714,-118.02683,610000,2,3,1388,SINGLE_FAMILY,FOR_SALE,-1,631100,3499,FALSE,FALSE,USD,USA,514655,7592,sqft,,,,,,TRUE,Sat. 1-3pm,"[{'open_house_start': 1704574800000, 'open_house_end': 1704582000000}]",https://photos.zillowstatic.com/fp/ddbb80b7516074df48ced8cefcf31cdb-p_e.jpg,https://www.zillow.com/homedetails/14331-Leffingwell-Rd-Whittier-CA-90604/21378499_zpid/,180.36581880537295
21108228,12051 Chesterton St,Norwalk,CA,90650,33.88294,-118.07532,649800,2,3,1093,SINGLE_FAMILY,FOR_SALE,-1,672100,3294,FALSE,FALSE,USD,USA,332479,4028,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/927b9b081fbdbe32ed4314b5738f5a98-p_e.jpg,https://www.zillow.com/homedetails/12051-Chesterton-St-Norwalk-CA-90650/21108228_zpid/,204.03764420157862
21016548,1911 E San Vincente St,Compton,CA,90221,33.899616,-118.20247,679900,2,3,1106,SINGLE_FAMILY,FOR_SALE,-1,691700,3499,FALSE,FALSE,USD,USA,37870,5786,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/307745f18987108a32c1de2adb0eba11-p_e.jpg,https://www.zillow.com/homedetails/1911-E-San-Vincente-St-Compton-CA-90221/21016548_zpid/,197.6850528722492
21375986,12329 Cyclops St,Norwalk,CA,90650,33.922173,-118.069435,789000,2,3,1452,SINGLE_FAMILY,FOR_SALE,-1,809800,3594,FALSE,FALSE,USD,USA,227597,5174,sqft,,,,,,TRUE,Fri. 10am-2pm,"[{'open_house_start': 1704477600000, 'open_house_end': 1704492000000}, {'open_house_start': 1704567600000, 'open_house_end': 1704585600000}]",https://photos.zillowstatic.com/fp/aaff206f522ffc84f0ce46c21cce9e01-p_e.jpg,https://www.zillow.com/homedetails/12329-Cyclops-St-Norwalk-CA-90650/21375986_zpid/,225.31997774067892
21179588,4949 Coldbrook Ave,Lakewood,CA,90713,33.848644,-118.12256,850000,3,5,1734,SINGLE_FAMILY,FOR_SALE,-1,865800,4200,FALSE,FALSE,USD,USA,87353,5080,sqft,,,,,,TRUE,Thu. 12-5pm,"[{'open_house_start': 1704398400000, 'open_house_end': 1704416400000}, {'open_house_start': 1704477600000, 'open_house_end': 1704502800000}, {'open_house_start': 1704564000000, 'open_house_end': 1704589200000}, {'open_house_start': 1704650400000, 'open_house_end': 1704675600000}]",https://photos.zillowstatic.com/fp/bd1ea8c012e81612ce7c05da320f6ee9-p_e.jpg,https://www.zillow.com/homedetails/4949-Coldbrook-Ave-Lakewood-CA-90713/21179588_zpid/,206.14285714285714
